timestamp,size,ctx,mode,precision,warmup,steps,status,mean_ms,std_ms,median_ms,min_ms,p95_ms,peak_mem_gb,peak_resv_gb,tokens_per_sec,tflops,mfu,error
2026-05-27_19:46:37,large,512,forward,amp,5,10,rc=1,,,,,,,,,,, usage: nsys profile [<args>] [application] [<application args>] Try 'nsys profile --help' for more information. |
2026-05-27_19:46:38,medium,512,full,amp,5,10,rc=1,,,,,,,,,,, usage: nsys profile [<args>] [application] [<application args>] Try 'nsys profile --help' for more information. |
