timestamp,size,ctx,mode,precision,warmup,steps,status,mean_ms,std_ms,median_ms,min_ms,p95_ms,peak_mem_gb,peak_resv_gb,tokens_per_sec,tflops,mfu,error
2026-05-27_19:49:19,large,512,forward,amp,5,10,ok,81.3,8.26,78.19,,94.43,4.47,,,,,
2026-05-27_19:50:33,medium,512,full,amp,5,10,ok,231.81,14.18,228.49,,255.29,13.62,,,,,
